Date : 2020-01-10 10:30:39
Directory : c:\Users\AORUS\Desktop\Work_Echart\EChartSimple
Total : 963 files,  175214 codes, 10070 comments, 13467 blanks, all 198751 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\产业能源消费占比.css       | CSS        |         49 |         11 |         22 |         82 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\区域概况.css           | CSS        |         63 |          1 |         10 |         74 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\各区域碳排放.css         | CSS        |         15 |          7 |         10 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\各区域综合能耗.css        | CSS        |         15 |          7 |         10 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\各区能效.css           | CSS        |         23 |          7 |         16 |         46 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\各行业万元产值能耗.css      | CSS        |         48 |         10 |         22 |         80 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\各行业综合能耗.css        | CSS        |         48 |         10 |         22 |         80 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\行业能源消费占比.css       | CSS        |         49 |         11 |         22 |         82 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\行业能源消费占比_Old.css   | CSS        |         48 |         12 |         22 |         82 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\近30天耗能趋势.css       | CSS        |         52 |          9 |         19 |         80 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\区域分析\重点企业监控能耗.css       | CSS        |         15 |          9 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\客户特征分析\企业标签演变趋势.css     | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\客户特征分析\企业概况.css         | CSS        |         73 |         10 |         13 |         96 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\客户特征分析\客户特征分析地图.css     | CSS        |        167 |         27 |         12 |        206 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\客户特征分析\标签企业列表.css       | CSS        |        109 |         11 |         16 |        136 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\客户特征分析\标签分类占比.css       | CSS        |         16 |          3 |          3 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\客户特征分析\标签概况.css         | CSS        |         55 |          5 |         23 |         83 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\客户特征分析\标签调用排行.css       | CSS        |         72 |          7 |         11 |         90 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\人工复检结果.css       | CSS        |         56 |          5 |          4 |         65 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\企业异常事件.css       | CSS        |         75 |         37 |         32 |        144 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\企业标签.css         | CSS        |         34 |          3 |          6 |         43 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\区域异常排名.css       | CSS        |         16 |          6 |         10 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\年度异常原因变化分析.css   | CSS        |         16 |          8 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\异常事件列表.css       | CSS        |         74 |         40 |         26 |        140 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\异常事件详情.css       | CSS        |         23 |         11 |         10 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\异常原因AI判断.css     | CSS        |         16 |          5 |         10 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\本月异常.css         | CSS        |         26 |         10 |         13 |         49 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\行业异常排名.css       | CSS        |         16 |          4 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源分析\异常用能分析\预判准确率趋势.css      | CSS        |         16 |          8 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\专家入驻趋势.css              | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\专家排行.css                | CSS        |        104 |          9 |         27 |        140 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\优秀成果及孵化项目.css           | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\各类金融类排行.css             | CSS        |        104 |          9 |         27 |        140 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\合同数量增长趋势.css            | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\成功案例建设趋势.css            | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\成功案例排行.css              | CSS        |        104 |          9 |         27 |        140 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\最新事件列表.css              | CSS        |         73 |         45 |         30 |        148 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\能源俱乐部事件排行.css           | CSS        |        104 |          9 |         27 |        140 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\能源俱乐部类型分类.css           | CSS        |         15 |          3 |          9 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\金融产品接入趋势.css            | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\金融渠道类型分布.css            | CSS        |         25 |          8 |         11 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源应用\领域入驻专家.css              | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\base.css                | CSS        |         86 |         37 |         39 |        162 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务-区域对比.css           | CSS        |         16 |          6 |         13 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务-行业对比.css           | CSS        |         15 |          4 |         14 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务-订单状态.css           | CSS        |         80 |          2 |         13 |         95 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务.css                | CSS        |         73 |         51 |         42 |        166 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务列表.css              | CSS        |         74 |         39 |         31 |        144 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务消费月排行.css           | CSS        |         82 |         40 |         39 |        161 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务用户历史订单.css          | CSS        |         74 |         43 |         32 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务类型分布.css            | CSS        |         16 |          5 |         12 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务订单成果.css            | CSS        |         74 |         43 |         32 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务详情.css              | CSS        |         27 |          5 |          7 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\定制服务趋势.css              | CSS        |         15 |          5 |         13 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务-区域对比.css         | CSS        |         16 |          6 |         16 |         38 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务-行业对比.css         | CSS        |         15 |          4 |         14 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务-订单状态.css         | CSS        |         80 |          1 |         11 |         92 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务.css              | CSS        |         71 |         51 |         43 |        165 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务列表.css            | CSS        |         74 |         39 |         31 |        144 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务消费月排行.css         | CSS        |         82 |         40 |         38 |        160 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务用户历史订单.css        | CSS        |         74 |         43 |         32 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务类型分布.css          | CSS        |         16 |          5 |         12 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务订单成果.css          | CSS        |         74 |         43 |         32 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\报告订单服务详情.css            | CSS        |         27 |          5 |          7 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\接入服务-区域对比.css           | CSS        |         16 |          6 |         13 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\接入服务-行业对比.css           | CSS        |         15 |          4 |         14 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\接入服务-订单状态.css           | CSS        |         84 |          2 |         14 |        100 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\接入服务类型分布.css            | CSS        |         16 |          5 |         14 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\接入服务详情.css              | CSS        |         27 |          5 |          7 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\接入服务趋势.css              | CSS        |         15 |          5 |         13 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\接入详情.css                | CSS        |         73 |         44 |         32 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\数据接入服务.css              | CSS        |         71 |         49 |         40 |        160 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\数据接入服务列表.css            | CSS        |         75 |         38 |         33 |        146 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\最新接入企业.css              | CSS        |         82 |         40 |         39 |        161 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\服务数量年度对比.css            | CSS        |         98 |         13 |         36 |        147 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\服务金额年度对比.css            | CSS        |         98 |         12 |         38 |        148 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源服务\本月报告订单服务趋势.css          | CSS        |         15 |          5 |         14 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\base.css                | CSS        |         88 |         35 |         39 |        162 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\企业用能结构.css         | CSS        |         49 |         11 |         22 |         82 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\全区概况.css           | CSS        |         99 |         14 |         18 |        131 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\区域用户分布占比.css       | CSS        |         16 |          5 |         10 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\当日能耗-区域属性.css      | CSS        |         15 |          9 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\当日能耗-设备属性.css      | CSS        |         15 |          9 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\日月光半导体.css         | CSS        |         84 |          6 |         16 |        106 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\本月用能趋势.css         | CSS        |         15 |          9 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\企业监控\行业用户分布占比.css       | CSS        |         83 |         14 |         14 |        111 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\全景分析\全区概况.css           | CSS        |         99 |         14 |         18 |        131 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\全景分析\区域用户分布占比.css       | CSS        |         16 |          5 |         10 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\全景分析\当月供需对比图.css        | CSS        |         46 |          9 |         19 |         74 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\全景分析\当月分区消费排名.css       | CSS        |         16 |          6 |         10 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\全景分析\当月能源消费重点监测.css     | CSS        |         46 |          9 |         19 |         74 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\全景分析\当月行业消费排名.css       | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源监控\全景分析\行业用户分布占比.css       | CSS        |         83 |         14 |         15 |        112 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\base.css                | CSS        |         87 |         27 |         14 |        128 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\上海通用重工集团有限公司.css        | CSS        |         57 |         15 |         19 |         91 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\事件完成情况.css              | CSS        |         24 |         10 |         13 |         47 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\企业出力曲线 - 带标题.css        | CSS        |         21 |          9 |         13 |         43 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\企业出力曲线 - 纯图片.css        | CSS        |         16 |          9 |         15 |         40 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\企业出力曲线 - 表-纯图片.css      | CSS        |         16 |          9 |         15 |         40 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\企业出力曲线.css              | CSS        |         15 |          9 |         15 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\企业出力曲线数据绑定版_完结.css      | CSS        |        100 |         11 |         26 |        137 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\企业出力曲线数据绑定版_执行.css      | CSS        |         72 |         21 |         21 |        114 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\削峰填谷事件概览.css            | CSS        |         23 |         11 |         12 |         46 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\削峰填谷地图.css              | CSS        |         76 |         13 |         17 |        106 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\削峰填谷详情.css              | CSS        |         51 |         13 |         11 |         75 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\同意邀约企业.css              | CSS        |         64 |          6 |         10 |         80 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\完结-企业出力回顾.css           | CSS        |         57 |         15 |         20 |         92 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\实时全口径负荷.css             | CSS        |         15 |          9 |         15 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\底部切换.css                | CSS        |         23 |          1 |          5 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\待应答企业.css               | CSS        |         61 |          5 |          8 |         74 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\执行倒计时.css               | CSS        |         55 |          3 |          7 |         65 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\执行进度.css                | CSS        |         56 |         30 |         18 |        104 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\拒绝邀约企业.css              | CSS        |         69 |         11 |         14 |         94 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\时间轴.css                 | CSS        |        171 |          7 |         25 |        203 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\最新削峰填谷事件.css            | CSS        |         69 |         46 |         22 |        137 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\线路实时态势 - 副本.css         | CSS        |         22 |          5 |         15 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\线路实时态势.css              | CSS        |         22 |          5 |         15 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\虚拟电厂出力曲线.css            | CSS        |         15 |          9 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\负载曲线.css                | CSS        |         15 |          9 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\邀约倒计时.css               | CSS        |         55 |          3 |          7 |         65 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\邀约进度.css                | CSS        |         53 |         20 |         17 |         90 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源管理\高负载线路.css               | CSS        |         80 |         33 |         21 |        134 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\全区用能概况.css               | CSS        |         16 |          5 |         13 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\削峰填谷事件概览.css             | CSS        |         25 |          5 |         14 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\合同数量增长趋势.css             | CSS        |         15 |          5 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\最新削峰填谷事件.css             | CSS        |         75 |         39 |         31 |        145 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\最新异常事件.css               | CSS        |         77 |         38 |         31 |        146 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\服务概况-个性化定制服务.css         | CSS        |         33 |          1 |         13 |         47 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\服务概况-分析报告订单服务.css        | CSS        |         33 |          0 |          6 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\服务概况-数据接入服务.css          | CSS        |         33 |          1 |         11 |         45 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\本月异常用能事件.css             | CSS        |        108 |         18 |         26 |        152 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\标签云.css                  | CSS        |        138 |         18 |         37 |        193 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\标签云_New.css              | CSS        |         56 |         10 |         28 |         94 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\标签全生命周期.css              | CSS        |         94 |          1 |         12 |        107 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\标签概况.css                 | CSS        |         16 |          5 |         12 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\能源交易概况.css               | CSS        |         67 |         21 |         34 |        122 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\能源应用.css                 | CSS        |         52 |          4 |         14 |         70 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\行业消费排名.css               | CSS        |         15 |          5 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\近30天供需对比.css             | CSS        |         17 |          7 |         10 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\近一年异常原因分析.css            | CSS        |         15 |          5 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\近一年异常原因分析b.css           | CSS        |         18 |          5 |         11 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\重点监控企业-能耗.css            | CSS        |         15 |          6 |         10 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\驾驶舱\高负载线路.css                | CSS        |         75 |         39 |         31 |        145 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\矩形树图.css                         | CSS        |         36 |          5 |          1 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\阴影文本.css                         | CSS        |         11 |          0 |          1 |         12 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\font_family\icomoon\icomoon.svg      | XML        |         29 |          0 |          2 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\.vs\ProjectSettings.json        | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\.vs\VSWorkspaceState.json       | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\A_MainMenu_监控版.html             | HTML       |         26 |          1 |          7 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\B_MainMenu_展示版.html             | HTML       |         23 |          0 |          5 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\Histogram_1.html                | HTML       |         28 |          1 |          3 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\Horizontal_histogram.html       | HTML       |         23 |          0 |          1 |         24 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\MainMenu_nykhsj.html            | HTML       |         56 |          0 |          4 |         60 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\NewTest (2).html                | HTML       |        305 |          0 |         20 |        325 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\NewTest.html                    | HTML       |         46 |          0 |          5 |         51 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\Table.html                      | HTML       |         20 |          0 |          1 |         21 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\Tool\地区三级联动.html                | HTML       |         53 |          0 |          4 |         57 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\Tool\地区三级联动展示版.html             | HTML       |         53 |          0 |          4 |         57 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\Tool\导航小地图.html                 | HTML       |         18 |          0 |          4 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\Vertical_histogram.html         | HTML       |         24 |          0 |          1 |         25 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\hotMap.html                     | HTML       |        252 |          0 |         67 |        319 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\line_chart.html                 | HTML       |         23 |          0 |          1 |         24 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\main.html                       | HTML       |         52 |          1 |          4 |         57 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\test.html                       | HTML       |         16 |          0 |          4 |         20 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\区域分析.html                       | HTML       |         19 |          1 |          5 |         25 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\客户特征分析.html                     | HTML       |         23 |          1 |          5 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角.html                   | HTML       |         43 |          1 |          6 |         50 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\万元产值能耗.html            | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\企业异常用能事件.html          | HTML       |         25 |          0 |          5 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\企业概况.html              | HTML       |         23 |          0 |          5 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\企业能源消费排行.html          | HTML       |         29 |          1 |          5 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\区域概况.html              | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\区域能源消费比例.html          | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\区域能源消费结构.html          | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\单位面积能耗.html            | HTML       |         28 |          1 |          6 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\年度供需对比 copy.html       | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\年度供需对比.html            | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\年度综合能耗环比.html          | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\度电经济增加值.html           | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\异常用能原因.html            | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\异常能源监测.html            | HTML       |         28 |          1 |          5 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\展示版\政府视角\最新异常事件.html            | HTML       |         25 |          0 |          5 |         30 |
